"Coyle, Charlie",F,MIN,70,12,18,30,0.428571429,-7,33,108,37,2,1,0,0,2,135,0.089
"Peverley, Rich",F,DAL,62,7,23,30,0.483870968,-3,15,27,42,0,3,1,1,2,122,0.057
"Winnik, Daniel",F,ANA,76,6,24,30,0.394736842,6,23,61,62,0,0,2,2,2,115,0.052
"Gaborik, Marian",F,CLB,41,11,19,30,0.731707317,7,10,15,10,1,6,0,0,0,103,0.107
"Tlusty, Jiri",F,CAR,68,16,14,30,0.441176471,2,22,88,38,0,1,2,0,5,131,0.122
"King, Dwight",F,LAK,77,15,15,30,0.38961039,16,18,114,17,0,1,2,0,3,111,0.135
"Enstrom, Toby",D,WPG,82,10,20,30,0.365853659,-9,56,37,142,4,9,0,0,3,106,0.094
"Lindholm, Hampus",D,ANA,78,6,24,30,0.384615385,29,36,54,61,1,3,0,0,1,116,0.052
"Toffoli, Tyler",F,LAK,62,12,17,29,0.467741936,21,10,57,8,1,3,0,0,5,124,0.097
"Jenner, Boone",F,CLB,72,16,13,29,0.402777778,6,45,212,37,4,3,0,0,5,127,0.126
"Roussel, Antoine",F,DAL,81,14,15,29,0.358024691,-1,209,146,49,0,0,0,2,2,113,0.124
"Erat, Martin",F,WAS,70,3,26,29,0.414285714,5,28,75,25,0,4,0,0,0,53,0.057
"Kassian, Zack",F,VAN,73,14,15,29,0.397260274,-4,124,91,6,1,0,0,0,2,91,0.154
"Cole, Erik",F,DAL,75,16,13,29,0.386666667,-17,20,89,21,3,4,0,0,4,139,0.115
"Maroon, Patrick",F,ANA,62,11,18,29,0.467741936,11,101,124,16,1,3,0,0,3,93,0.118
"Koivu, Saku",F,ANA,65,11,18,29,0.446153846,3,46,29,30,0,0,1,3,1,81,0.136
"Bergenheim, Sean",F,FLA,62,16,13,29,0.467741936,-16,40,111,18,3,1,0,0,3,190,0.084
"Maatta, Olli",D,PIT,78,9,20,29,0.371794872,8,14,41,112,3,3,1,0,1,119,0.076
"Gelinas, Eric",D,NJD,60,7,22,29,0.483333333,-3,22,99,20,5,12,0,0,2,124,0.056
"Trouba, Jacob",D,WPG,65,10,19,29,0.446153846,4,43,95,132,0,3,1,0,1,121,0.083
